Περιγραφή,Κωδικός,Έτος,Μήνας,Sales
ΜΑΣΣΑΛ SECRETS ΜΑΛ/ΚΟ ΜΑΣΤΙΧΑ 2L -1€,010022CYP,2020,Νοέμβριος,240
ΜΑΣΣΑΛ SECRETS ΜΑΛ/ΚΟ ΜΑΣΤΙΧΑ 2L -1€,010022CYP,2020,Δεκέμβριος,360
ΜΑΣΣΑΛ SECR ΜΑΛ/ΚΟ FL GARDEN 2L -1€,010042CYP,2020,Ιανουάριος,0
ΜΑΣΣΑΛ SECR ΜΑΛ/ΚΟ FL GARDEN 2L -1€,010042CYP,2020,Φεβρουάριος,397
ΜΑΣΣΑΛ SECR ΜΑΛ/ΚΟ FL GARDEN 2L -1€,010042CYP,2020,Μάρτιος,935
ΜΑΣΣΑΛ SECR ΜΑΛ/ΚΟ FL GARDEN 2L -1€,010042CYP,2020,Απρίλιος,0
ΜΑΣΣΑΛ SECR ΜΑΛ/ΚΟ FL GARDEN 2L -1€,010042CYP,2020,Μάιος,0
ΜΑΣΣΑΛ SECR ΜΑΛ/ΚΟ FL GARDEN 2L -1€,010042CYP,2020,Ιούνιος,660
ΜΑΣΣΑΛ SECR ΜΑΛ/ΚΟ FL GARDEN 2L -1€,010042CYP,2020,Ιούλιος,588
ΜΑΣΣΑΛ SECR ΜΑΛ/ΚΟ FL GARDEN 2L -1€,010042CYP,2020,Αύγουστος,0
ΜΑΣΣΑΛ SECR ΜΑΛ/ΚΟ FL GARDEN 2L -1€,010042CYP,2020,Σεπτέμβριος,600
ΜΑΣΣΑΛ SECR ΜΑΛ/ΚΟ FL GARDEN 2L -1€,010042CYP,2020,Οκτώβριος,480
ΜΑΣΣΑΛ SECR ΜΑΛ/ΚΟ FL GARDEN 2L -1€,010042CYP,2020,Νοέμβριος,300
ΜΑΣΣΑΛ SECR ΜΑΛ/ΚΟ FL GARDEN 2L -1€,010042CYP,2020,Δεκέμβριος,300
ΜΑΣΣΑΛ SECRETS ΜΑΛ/ΚΟ BLACK 2L-1€,010051CYP,2020,Ιανουάριος,24
ΜΑΣΣΑΛ SECRETS ΜΑΛ/ΚΟ BLACK 2L-1€,010051CYP,2020,Φεβρουάριος,1380
ΜΑΣΣΑΛ SECRETS ΜΑΛ/ΚΟ BLACK 2L-1€,010051CYP,2020,Μάρτιος,1127
ΜΑΣΣΑΛ SECRETS ΜΑΛ/ΚΟ BLACK 2L-1€,010051CYP,2020,Απρίλιος,0
ΜΑΣΣΑΛ SECRETS ΜΑΛ/ΚΟ BLACK 2L-1€,010051CYP,2020,Μάιος,0
ΜΑΣΣΑΛ SECRETS ΜΑΛ/ΚΟ BLACK 2L-1€,010051CYP,2020,Ιούνιος,1216
ΜΑΣΣΑΛ SECRETS ΜΑΛ/ΚΟ BLACK 2L-1€,010051CYP,2020,Ιούλιος,1080
ΜΑΣΣΑΛ SECRETS ΜΑΛ/ΚΟ BLACK 2L-1€,010051CYP,2020,Αύγουστος,0
ΜΑΣΣΑΛ SECRETS ΜΑΛ/ΚΟ BLACK 2L-1€,010051CYP,2020,Σεπτέμβριος,946
ΜΑΣΣΑΛ SECRETS ΜΑΛ/ΚΟ BLACK 2L-1€,010051CYP,2020,Οκτώβριος,600
ΜΑΣΣΑΛ SECRETS ΜΑΛ/ΚΟ BLACK 2L-1€,010051CYP,2020,Νοέμβριος,180
ΜΑΣΣΑΛ SECRETS ΜΑΛ/ΚΟ BLACK 2L-1€,010051CYP,2020,Δεκέμβριος,180
FAMOZO FRESH TRG 750ML 16PCS,030106,2020,Ιανουάριος,360
FAMOZO FRESH TRG 750ML 16PCS,030106,2020,Φεβρουάριος,556
FAMOZO FRESH TRG 750ML 16PCS,030106,2020,Μάρτιος,0
FAMOZO FRESH TRG 750ML 16PCS,030106,2020,Απρίλιος,790
FAMOZO FRESH TRG 750ML 16PCS,030106,2020,Μάιος,913
FAMOZO FRESH TRG 750ML 16PCS,030106,2020,Ιούνιος,0
FAMOZO FRESH TRG 750ML 16PCS,030106,2020,Ιούλιος,1199
FAMOZO FRESH TRG 750ML 16PCS,030106,2020,Αύγουστος,0
FAMOZO FRESH TRG 750ML 16PCS,030106,2020,Σεπτέμβριος,800
